Date,Close/Last,Volume,Open,High,Low,SYMBOL
01/16/2024,$141.12,7483018,$140.00,$141.23,$137.98,QUALCOM
01-12-2024,$140.20,6546589,$142.12,$142.66,$139.16,QUALCOM
01-11-2024,$139.03,7374872,$139.00,$139.95,$136.03,QUALCOM
01-10-2024,$139.31,5652493,$139.89,$140.03,$137.79,QUALCOM
01-09-2024,$139.89,5856890,$137.54,$140.9476,$137.1373,QUALCOM
01-08-2024,$139.03,7729379,$136.99,$139.15,$136.64,QUALCOM
01-05-2024,$136.73,6827264,$136.16,$138.07,$135.85,QUALCOM
01-04-2024,$136.17,6770279,$135.44,$137.3301,$134.9409,QUALCOM
01-03-2024,$137.60,8133289,$138.89,$138.89,$136.99,QUALCOM
01-02-2024,$140.23,8495776,$142.19,$142.195,$138.781,QUALCOM
12/29/2023,$144.63,4839267,$145.41,$145.62,$143.79,QUALCOM
12/28/2023,$145.86,4928829,$146.18,$146.89,$145.73,QUALCOM
12/27/2023,$145.72,4470261,$145.85,$146.22,$145.04,QUALCOM
12/26/2023,$145.46,4381167,$144.17,$146.05,$143.96,QUALCOM
12/22/2023,$143.49,4659213,$143.25,$144.40,$142.75,QUALCOM
12/21/2023,$142.44,8361560,$141.80,$142.69,$140.985,QUALCOM
12/20/2023,$140.44,7264821,$141.97,$142.98,$140.36,QUALCOM
12/19/2023,$143.23,5658404,$142.03,$143.4299,$141.44,QUALCOM
12/18/2023,$141.65,7832098,$142.51,$143.12,$141.29,QUALCOM
12/15/2023,$143.13,25053480,$142.05,$143.49,$141.38,QUALCOM
12/14/2023,$141.50,11468870,$139.60,$142.765,$139.60,QUALCOM
12/13/2023,$138.80,7507650,$136.38,$138.99,$136.08,QUALCOM
12-12-2023,$136.68,7380380,$135.98,$137.23,$135.50,QUALCOM
12-11-2023,$136.10,11010730,$134.51,$136.5999,$134.07,QUALCOM
12-08-2023,$132.97,7678624,$131.22,$133.97,$131.18,QUALCOM
12-07-2023,$132.94,7815707,$131.33,$133.33,$130.39,QUALCOM
12-06-2023,$129.96,6912423,$131.98,$132.14,$129.66,QUALCOM
12-05-2023,$130.75,6231640,$129.09,$130.85,$128.95,QUALCOM
12-04-2023,$129.95,7485048,$129.33,$130.05,$128.03,QUALCOM
12-01-2023,$129.67,8866491,$129.06,$130.27,$128.51,QUALCOM
11/30/2023,$129.05,11731770,$129.27,$129.40,$127.485,QUALCOM
11/29/2023,$127.91,10608320,$129.24,$130.60,$127.62,QUALCOM
11/28/2023,$126.59,8817854,$127.20,$127.305,$125.67,QUALCOM
11/27/2023,$128.20,8586440,$127.27,$129.02,$126.79,QUALCOM
11/24/2023,$127.75,3708239,$128.23,$128.23,$127.56,QUALCOM
11/22/2023,$127.50,6649051,$127.89,$129.5103,$127.16,QUALCOM
11/21/2023,$127.02,14641820,$126.89,$127.47,$125.75,QUALCOM
11/20/2023,$129.51,7150860,$129.44,$130.1199,$129.02,QUALCOM
11/17/2023,$129.47,6544058,$129.30,$129.79,$128.42,QUALCOM
11/16/2023,$128.70,11655680,$129.09,$130.37,$128.31,QUALCOM
11/15/2023,$128.92,7789083,$127.92,$129.73,$127.56,QUALCOM
11/14/2023,$127.36,11255360,$127.34,$128.22,$126.08,QUALCOM
11/13/2023,$123.85,7959191,$124.00,$124.55,$122.63,QUALCOM
11-10-2023,$124.21,12194410,$121.90,$124.81,$120.965,QUALCOM
11-09-2023,$120.10,9002674,$121.12,$122.43,$119.85,QUALCOM
